  SP74632","Las desagregaciones del INPC solo tienen valor informativo.
  SP74633","Las desagregaciones del INPC solo tienen valor informativo.
  SP66536","Las desagregaciones del INPC solo tienen valor informativo.
  SP74634","Las desagregaciones del INPC solo tienen valor informativo.
  SP74635","Las desagregaciones del INPC solo tienen valor informativo.
  SP66538","Las desagregaciones del INPC solo tienen valor informativo.
  SP56384","Las desagregaciones del INPC solo tienen valor informativo.
  SP74636","Las desagregaciones del INPC solo tienen valor informativo.
  SP74637","Las desagregaciones del INPC solo tienen valor informativo.
  SP56378","Las desagregaciones del INPC solo tienen valor informativo.
  SP56379","Las desagregaciones del INPC solo tienen valor informativo.
  SP56380","Las desagregaciones del INPC solo tienen valor informativo.
  SP74638","Las desagregaciones del INPC solo tienen valor informativo.
  SP56382","Las desagregaciones del INPC solo tienen valor informativo.
  SP74639"
"2Q Jun 2001","49.335548752497","53.896462740613","52.356712910830","41.458467030488","62.602004055989","54.875787710796","59.909982082403","37.151841863734","56.515529218557","37.076570867737","37.358877683997","36.520901918681","37.859365305352","36.827005680773","33.404178806000","43.891081780073"
"1Q Jul 2001","49.159021517595","53.938912197765","52.350036668764","41.495672382530","62.542766052175","54.977533283134","60.027984552582","37.175730580305","56.628441269238","36.472217997840","36.922528959259","35.640419663095","37.706152550916","36.089263248614","32.204335405413","43.901314014537"
"2Q Jul 2001","49.237526015307","53.944931766327","52.238187219196","41.465738571674","62.338303384094","55.127426935112","60.151544809513","37.176742504796","56.848090861266","36.690961174457","37.402622941419","36.820484808070","37.740196951034","36.099729340121","32.200459340561","43.936196952320"
"1Q Ago 2001","49.407451675581","54.112006393605","52.446338719460","41.524182944960","62.715505572297","55.241532521349","60.265904517744","37.274453458756","56.967906780876","36.856099834185","38.127740992051","38.156065321483","38.076033303379","35.818808813771","31.723953344976","43.972987548178"
"2Q Ago 2001","49.571779751783","54.131559965309","52.327711734077","41.493860768641","62.496933989142","55.429543970871","60.361322380214","37.890104354019","57.102782152437","37.299933431074","39.159203102911","40.505270449872","38.267664185985","35.794378377260","31.684170711512","43.973409633668"
"1Q Sep 2001","49.905890505084","54.473819367720","52.421823996178","41.550745407060","62.630737753549","56.069185895799","60.527412616554","41.494652963285","57.226309709795","37.596837466144","39.303705028144","40.708345787873","38.374748648040","36.212452228025","32.354839026671","43.983157743915"
"2Q Sep 2001","49.994871628684","54.588991522734","52.584007602600","41.642101985021","62.869370547747","56.125008134578","60.680698081169","41.531499780919","57.205735133978","37.627597964432","39.427217132150","40.540955328233","38.683350170719","36.169327901090","32.286652689678","43.980487606844"
"1Q Oct 2001","50.119445719780","54.637761137990","52.590623975016","41.741336281078","62.763901149746","56.224451433766","60.790100473700","41.532779233325","57.327991280230","37.896083706402","39.591495724556","40.763014063488","38.810698855384","36.520621561419","32.812193319787","44.052372422638"
"2Q Oct 2001","50.232825160783","54.699945384311","52.618228804292","41.806737107124","62.744385708568","56.327833712206","60.914050004039","41.533887635872","57.446491971223","38.104769829069","40.055295613185","42.104590494979","38.715266575404","36.526004282165","32.814972620307","44.062312831669"
"1Q Nov 2001","50.372324933947","54.765913133851","52.681207807303","41.857745935704","62.818314524147","56.396348809230","60.981534132114","41.533887635872","57.537696607373","38.382934021586","39.692708565806","41.210409894772","38.691430387239","37.314255809467","34.090519249141","44.062180114658"
"2Q Nov 2001","50.357829237513","54.833101355517","52.714954803001","41.893269289484","62.848049213003","56.503261089816","61.102571711034","41.533887635872","57.666662594209","38.205613067139","39.294148420802","40.383479082206","38.565937659486","37.313240737705","34.084761236403","44.069078400161"
"1Q Dic 2001","50.435903231535","54.912651742252","52.773429198452","41.932729367120","62.926219888588","56.607224871930","61.197225799697","41.533887635872","57.811627612394","38.275823209628","39.546023424566","40.797569125157","38.714318565961","37.238732164947","33.885509753667","44.200974431735"
"2Q Dic 2001","50.433750713087","54.948867489710","52.719298773786","41.891916712000","62.859023916724","56.753191020858","61.281410977231","41.533887635872","58.056493959636","38.197022648651","39.261080245045","39.603227965382","39.008580871048","37.324149324699","33.876374205318","44.447954663075"
"1Q Ene 2002","50.801013876867","55.123017494027","52.818310759612","42.123040273474","62.793192650972","57.016207924279","61.518601669020","41.646732144465","58.390055448905","38.927733194728","40.217971359026","42.041150721577","39.021751504236","37.874249499469","33.593145676956","46.414667442442"
"2Q Ene 2002","51.000073913184","55.286512573047","52.889162279113","42.215800111001","62.833692331495","57.290130797801","61.734684708264","41.817294188033","58.747201428766","39.185679185821","40.747626504514","43.791599790670","38.773739735496","37.915643196285","33.593295235728","46.526684338201"
